TradeDate,Currency,Ticker,OptionType,TradedStockPrice,NumOptions,Strike,ExpiryDate
2013-01-02,USD,PUT,BA,77.07,60,77,2013-07-01
2013-01-02,USD,PUT,XRX,18.945982,330,19,2013-07-01
2013-01-02,USD,CALL,CHK,15.704825,230,15,2013-04-02
2013-01-02,USD,PUT,FB,28.0,340,28,2013-12-28
2013-01-02,USD,PUT,MSFT,27.620001000000002,690,26,2013-12-28
2013-01-02,USD,PUT,FB,28.0,240,26,2013-07-01
2013-01-02,USD,CALL,FB,28.0,590,28,2013-12-28
2013-01-03,USD,CALL,XRX,18.945982,0,19,2013-04-03
2013-01-03,USD,CALL,AMZN,258.480011,450,249,2013-07-02
2013-01-03,USD,CALL,AMZN,258.480011,240,258,2013-04-03
2013-01-07,USD,CALL,XRX,19.051384,640,18,2013-04-07
2013-01-07,USD,PUT,CHK,16.669821,820,17,2013-04-07
2013-01-07,USD,PUT,XRX,19.051384,470,18,2014-01-02
2013-01-07,USD,CALL,AAPL,74.842857,400,77,2014-01-02
2013-01-07,USD,CALL,AAPL,74.842857,790,71,2013-07-06
2013-01-07,USD,CALL,FB,29.42,50,29,2014-01-02
2013-01-07,USD,CALL,AAPL,74.842857,550,74,2013-07-06
2013-01-08,USD,PUT,FB,29.059998999999998,480,29,2013-07-07
2013-01-08,USD,PUT,AAPL,75.044289,650,75,2013-04-08
2013-01-08,USD,CALL,FB,29.059998999999998,110,30,2014-01-03
2013-01-08,USD,PUT,AMZN,266.380005,90,266,2013-04-08
2013-01-08,USD,CALL,CHK,15.969726000000001,420,15,2014-01-03
2013-01-08,USD,PUT,AMZN,266.380005,20,267,2013-07-07
2013-01-09,USD,CALL,BA,76.760002,110,77,2014-01-04
2013-01-09,USD,CALL,FB,30.59,40,31,2014-01-04
2013-01-10,USD,CALL,MSFT,26.459999,870,27,2013-07-09
2013-01-11,USD,PUT,AMZN,267.940002,580,273,2013-04-11
2013-01-14,USD,PUT,XRX,19.499342000000002,400,18,2014-01-09
2013-01-14,USD,PUT,XRX,19.499342000000002,450,20,2014-01-09
2013-01-14,USD,PUT,AAPL,71.678574,940,73,2014-01-09
2013-01-14,USD,PUT,BA,76.550003,190,76,2013-07-13
2013-01-14,USD,PUT,AMZN,272.730011,300,277,2013-04-14
2013-01-14,USD,CALL,CHK,16.026489,560,15,2013-04-14
2013-01-16,USD,PUT,FB,29.85,820,29,2013-04-16
2013-01-16,USD,PUT,AAPL,72.298569,250,72,2014-01-11
2013-01-16,USD,CALL,FB,29.85,540,28,2013-04-16
2013-01-16,USD,CALL,AAPL,72.298569,620,68,2014-01-11
2013-01-17,USD,PUT,FB,30.139999,660,30,2013-04-17
2013-01-17,USD,CALL,MSFT,27.25,880,27,2013-07-16
2013-01-17,USD,PUT,XRX,19.97365,780,19,2013-07-16
2013-01-17,USD,CALL,FB,30.139999,940,30,2013-07-16
2013-01-18,USD,PUT,CHK,16.859035000000002,300,16,2013-04-18
2013-01-18,USD,CALL,FB,29.66,380,30,2013-07-17
2013-01-22,USD,PUT,XRX,19.841898,540,20,2014-01-17
2013-01-22,USD,PUT,AAPL,72.110001,530,74,2013-04-22
2013-01-22,USD,CALL,XRX,19.841898,260,20,2013-07-21
2013-01-22,USD,CALL,AAPL,72.110001,640,68,2013-07-21
2013-01-22,USD,PUT,AAPL,72.110001,490,70,2013-07-21
2013-01-22,USD,CALL,BA,74.160004,480,70,2014-01-17
2013-01-22,USD,CALL,AAPL,72.110001,860,75,2013-07-21
2013-01-23,USD,PUT,CHK,17.502365,270,16,2013-07-22
2013-01-23,USD,PUT,AAPL,73.43,430,73,2013-04-23
2013-01-23,USD,PUT,FB,30.82,570,29,2013-04-23
2013-01-23,USD,PUT,BA,74.290001,230,75,2013-07-22
2013-01-23,USD,PUT,MSFT,27.610001,870,28,2013-04-23
2013-01-23,USD,CALL,BA,74.290001,530,71,2013-07-22
2013-01-24,USD,PUT,XRX,20.421608,700,21,2013-04-24
2013-01-24,USD,CALL,FB,31.08,680,32,2014-01-19
2013-01-25,USD,CALL,FB,31.540001,810,30,2014-01-20
2013-01-25,USD,CALL,FB,31.540001,500,32,2013-04-25
2013-01-25,USD,PUT,XRX,20.895916,430,21,2014-01-20
2013-01-25,USD,CALL,AMZN,283.98999,350,277,2013-07-24
2013-01-25,USD,PUT,FB,31.540001,420,31,2013-07-24
2013-01-28,USD,CALL,BA,74.0,170,72,2013-07-27
2013-01-28,USD,PUT,MSFT,27.91,840,26,2013-07-27
2013-01-28,USD,PUT,CHK,17.909178,120,17,2014-01-23
2013-01-28,USD,CALL,FB,32.470001,910,33,2014-01-23
2013-01-28,USD,CALL,MSFT,27.91,900,27,2014-01-23
2013-01-29,USD,PUT,AAPL,65.46714,650,63,2013-07-28
2013-01-29,USD,CALL,CHK,17.947020000000002,200,18,2013-04-29
2013-01-30,USD,CALL,XRX,21.501976000000003,850,20,2014-01-25
2013-01-30,USD,PUT,MSFT,27.85,990,27,2013-07-29
2013-01-30,USD,CALL,AMZN,272.76001,100,283,2013-07-29
2013-01-31,USD,CALL,XRX,21.106720000000003,600,20,2014-01-26
2013-01-31,USD,CALL,BA,73.870003,930,70,2013-05-01
2013-01-31,USD,PUT,FB,30.98,340,30,2013-05-01
2013-01-31,USD,PUT,AMZN,265.5,730,274,2013-05-01
2013-01-31,USD,PUT,BA,73.870003,550,76,2013-05-01
2013-01-31,USD,PUT,FB,30.98,330,31,2013-05-01
2013-01-31,USD,PUT,XRX,21.106720000000003,810,20,2013-05-01
2013-02-01,USD,CALL,BA,74.870003,130,72,2013-05-02
2013-02-01,USD,PUT,XRX,21.13307,920,22,2013-05-02
2013-02-01,USD,CALL,AMZN,265.0,860,252,2013-07-31
2013-02-01,USD,PUT,AAPL,64.802856,570,61,2014-01-27
2013-02-01,USD,PUT,XRX,21.13307,720,21,2014-01-27
2013-02-04,USD,CALL,BA,75.209999,550,75,2013-05-05
2013-02-04,USD,PUT,XRX,20.922266,810,20,2014-01-30
2013-02-04,USD,PUT,CHK,19.025543,590,19,2013-05-05
2013-02-04,USD,PUT,AMZN,259.980011,620,268,2014-01-30
2013-02-04,USD,CALL,AMZN,259.980011,260,247,2013-05-05
2013-02-04,USD,CALL,AMZN,259.980011,950,249,2014-01-30
2013-02-05,USD,CALL,CHK,19.432356,800,19,2014-01-31
2013-02-05,USD,CALL,CHK,19.432356,530,18,2013-05-06
2013-02-05,USD,PUT,AAPL,65.405716,60,65,2014-01-31
2013-02-05,USD,PUT,CHK,19.432356,230,19,2013-08-04
2013-02-05,USD,PUT,BA,75.889999,520,74,2013-05-06
2013-02-07,USD,PUT,AMZN,260.230011,50,264,2014-02-02
2013-02-07,USD,CALL,MSFT,27.280001000000002,930,27,2013-08-06
2013-02-07,USD,CALL,XRX,21.054018,550,21,2013-05-08
2013-02-07,USD,PUT,BA,77.43,450,79,2013-08-06
2013-02-07,USD,PUT,AAPL,66.888573,330,64,2013-05-08
2013-02-07,USD,PUT,AAPL,66.888573,400,66,2013-05-08
2013-02-07,USD,CALL,MSFT,27.280001000000002,960,27,2013-08-06
2013-02-07,USD,CALL,CHK,19.139072,520,18,2013-05-08
2013-02-08,USD,CALL,AMZN,261.950012,970,267,2014-02-03
2013-02-08,USD,PUT,MSFT,27.549999,170,28,2013-08-07
2013-02-08,USD,PUT,BA,76.559998,320,75,2014-02-03
2013-02-08,USD,CALL,AAPL,67.854286,570,68,2014-02-03
2013-02-08,USD,CALL,MSFT,27.549999,70,27,2013-05-09
2013-02-08,USD,PUT,FB,28.549999,560,29,2014-02-03
2013-02-08,USD,CALL,MSFT,27.549999,110,26,2013-08-07
